Code#Local#Local de residência à data dos Censos [2021] (NUTS - 2013)#S7A2021:2021-T:HM#S7A2021:2021-1:H#S7A2021:2021-2:M
PT#Portugal#PT:Portugal#112,15#53,35#58,8
1#Continente#1:Continente#110,61#52,6#58,01
11#Norte#11:Norte#168,5#80,23#88,26
111#Alto Minho#111:Alto Minho#104,23#48,83#55,39
1601#Arcos de Valdevez#1601:Arcos de Valdevez#46,29#21,19#25,1
160101#Aboim das Choças#160101:Aboim das Choças#161,2#68,85#92,35
160102#Aguiã#160102:Aguiã#185,56#90,29#95,28
160104#Ázere#160104:Ázere#65,09#31,13#33,96
160105#Cabana Maior#160105:Cabana Maior#13,21#5,9#7,31
160106#Cabreiro#160106:Cabreiro#7,77#3,31#4,46
160108#Cendufe#160108:Cendufe#97,47#46,52#50,95
160109#Couto#160109:Couto#111,57#50,78#60,79
160113#Gavieira#160113:Gavieira#4,47#1,91#2,56
160115#Gondoriz#160115:Gondoriz#25,35#11,66#13,69
160142#Jolda (São Paio)#160142:Jolda (São Paio)#185,88#80,59#105,29
160121#Miranda#160121:Miranda#24,45#9,98#14,47
160122#Monte Redondo#160122:Monte Redondo#82,35#39,08#43,28
160123#Oliveira#160123:Oliveira#101,87#46,11#55,76
160124#Paçô#160124:Paçô#210,87#101,3#109,57
160125#Padroso#160125:Padroso#24,84#11,6#13,24
160128#Prozelo#160128:Prozelo#205,81#94,95#110,86
160131#Rio de Moinhos#160131:Rio de Moinhos#120,61#59,33#61,28
160130#Rio Frio#160130:Rio Frio#27,8#11,83#15,98
160133#Sabadim#160133:Sabadim#49,22#22,45#26,77
160144#Senharei#160144:Senharei#21,78#10,49#11,29
160145#Sistelo#160145:Sistelo#7,59#2,86#4,73
160146#Soajo#160146:Soajo#11,34#4,89#6,45
160152#União das freguesias de Alvora e Loureda#160152:União das freguesias de Alvora e Loureda#36,91#15,33#21,58
160154#União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada#160154:União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada#522,58#232,83#289,75
160153#União das freguesias de Arcos de Valdevez (São Paio) e Giela#160153:União das freguesias de Arcos de Valdevez (São Paio) e Giela#303,62#142,57#161,05
