Local de residência à data dos Censos [2021] (NUTS - 2013)	S7A2021:2021-T:HM	S7A2021:2021-1:H	S7A2021:2021-2:M
PT:Portugal	182,07	151,97	213,71
1:Continente	184,59	154,4	216,33
11:Norte	184,08	155	214,65
111:Alto Minho	251,94	207,19	298,42
1601:Arcos de Valdevez	387,83	323,46	449,64
160101:Aboim das Choças	533,33	783,33	433,33
160102:Aguiã	346,97	325	367,65
160104:Ázere	481,25	291,67	1050
160105:Cabana Maior	1633,33	2000	1450
160106:Cabreiro	2162,5	3150	1833,33
160108:Cendufe	178,26	135,71	244,44
160109:Couto	480	437,04	515,15
160113:Gavieira	1181,82	1766,67	962,5
160115:Gondoriz	662,26	507,14	836
160142:Jolda (São Paio)	175	206,25	157,14
160121:Miranda	1136,36	1225	1085,71
160122:Monte Redondo	246,15	192,31	300
160123:Oliveira	177,08	107,14	275
160124:Paçô	208,7	198,25	218,97
160125:Padroso	494,74	525	472,73
160128:Prozelo	447,76	351,43	553,13
160131:Rio de Moinhos	590,91	543,75	635,29
160130:Rio Frio	788,24	588,24	988,24
160133:Sabadim	859,09	623,08	1200
160144:Senharei	1266,67	1100	1433,33
160145:Sistelo	1642,86	1300	1900
160146:Soajo	988,89	770,59	1184,21
160152:União das freguesias de Alvora e Loureda	644,44	610	664,71
160154:União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada	177,05	150,6	200,53
160153:União das freguesias de Arcos de Valdevez (São Paio) e Giela	197,62	159,26	238,24
160155:União das freguesias de Eiras e Mei	1000	620	1633,33
160156:União das freguesias de Grade e Carralcova	745,16	676,92	794,44
160157:União das freguesias de Guilhadeses e Santar	212,33	200	222,5
160158:União das freguesias de Jolda (Madalena) e Rio Cabrão	555,56	476,92	628,57
160159:União das freguesias de Padreiro (Salvador e Santa Cristina)	661,9	466,67	922,22
160160:União das freguesias de Portela e Extremo	2100	1283,33	4550
160161:União das freguesias de São Jorge e Ermelo	624	437,04	843,48
160162:União das freguesias de Souto e Tabaçô	250	238,64	258,62
160163:União das freguesias de Távora (Santa Maria e São Vicente)	407,89	297,78	567,74
160164:União das freguesias de Vilela, São Cosme e São Damião e Sá	465,22	419,05	504
160149:Vale	492,73	374,19	645,83
1602:Caminha	269,73	219,09	324,91
160201:Âncora	186	160	212
160205:Argela	209,09	180	233,33
160209:Dem	284,62	200	406,25
160211:Lanhelas	405,19	347,5	467,57
160214:Riba de Âncora	335,82	264,1	435,71
160215:Seixas	259,39	201,14	325,97
160221:União das freguesias de Arga (Baixo, Cima e São João)	1800	1800	1800
160222:União das freguesias de Caminha (Matriz) e Vilarelho	363,84	262,81	482,52
160223:União das freguesias de Gondar e Orbacém	260	184	355
160224:União das freguesias de Moledo e Cristelo	225,97	174	290,12
160225:União das freguesias de Venade e Azevedo	277,42	230,61	329,55
160217:Vila Praia de Âncora	234,92	205,77	263,64
160218:Vilar de Mouros	247,06	230,23	264,29
160220:Vile	289,66	200	400
1603:Melgaço	572,15	452,2	697,17
160301:Alvaredo	507,5	426,32	580,95
160304:Cousso	1372,73	1400	1357,14
160305:Cristoval	954,55	666,67	1300
160307:Fiães	1185,71	600	2650
160308:Gave	833,33	400	1700
160311:Paderne	562,5	441,46	689,74
160313:Penso	609,38	461,11	800
160317:São Paio	564,1	404,35	793,75
160319:União das freguesias de Castro Laboreiro e Lamas de Mouro	2078,57	2100	2066,67
160320:União das freguesias de Chaviães e Paços	664,1	518,18	852,94
160321:União das freguesias de Parada do Monte e Cubalhão	1118,18	816,67	1480
160322:União das freguesias de Prado e Remoães	554,55	661,54	485
160323:União das freguesias de Vila e Roussas	315,42	261,06	369,3
