Local de residência à data dos Censos [2021] (NUTS - 2013);S7A2021:2021-T:HM;S7A2021:2021-1:H;S7A2021:2021-2:M
PT:Portugal;112,15;53,35;58,8
1:Continente;110,61;52,6;58,01
11:Norte;168,5;80,23;88,26
111:Alto Minho;104,23;48,83;55,39
1601:Arcos de Valdevez;46,29;21,19;25,1
160101:Aboim das Choças;161,2;68,85;92,35
160102:Aguiã;185,56;90,29;95,28
160104:Ázere;65,09;31,13;33,96
160105:Cabana Maior;13,21;5,9;7,31
160106:Cabreiro;7,77;3,31;4,46
160108:Cendufe;97,47;46,52;50,95
160109:Couto;111,57;50,78;60,79
160113:Gavieira;4,47;1,91;2,56
160115:Gondoriz;25,35;11,66;13,69
160142:Jolda (São Paio);185,88;80,59;105,29
160121:Miranda;24,45;9,98;14,47
160122:Monte Redondo;82,35;39,08;43,28
160123:Oliveira;101,87;46,11;55,76
160124:Paçô;210,87;101,3;109,57
160125:Padroso;24,84;11,6;13,24
160128:Prozelo;205,81;94,95;110,86
160131:Rio de Moinhos;120,61;59,33;61,28
160130:Rio Frio;27,8;11,83;15,98
160133:Sabadim;49,22;22,45;26,77
160144:Senharei;21,78;10,49;11,29
160145:Sistelo;7,59;2,86;4,73
160146:Soajo;11,34;4,89;6,45
160152:União das freguesias de Alvora e Loureda;36,91;15,33;21,58
160154:União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;522,58;232,83;289,75
160153:União das freguesias de Arcos de Valdevez (São Paio) e Giela;303,62;142,57;161,05
160155:União das freguesias de Eiras e Mei;53,67;25,17;28,5
160156:União das freguesias de Grade e Carralcova;32,26;13,62;18,64
160157:União das freguesias de Guilhadeses e Santar;299,74;137,6;162,15
160158:União das freguesias de Jolda (Madalena) e Rio Cabrão;99,53;47,99;51,54
160159:União das freguesias de Padreiro (Salvador e Santa Cristina);78,78;35,21;43,57
160160:União das freguesias de Portela e Extremo;27,82;13,61;14,21
160161:União das freguesias de São Jorge e Ermelo;29,49;13,32;16,17
160162:União das freguesias de Souto e Tabaçô;182,24;86,23;96,01
160163:União das freguesias de Távora (Santa Maria e São Vicente);125,82;61,57;64,24
160164:União das freguesias de Vilela, São Cosme e São Damião e Sá;53,18;24,47;28,72
160149:Vale;43,78;20,63;23,15
1602:Caminha;115,7;53,8;61,91
160201:Âncora;218,82;105,9;112,92
160205:Argela;34,72;16,48;18,24
160209:Dem;48,06;22,71;25,35
160211:Lanhelas;177,98;83,53;94,44
160214:Riba de Âncora;79,63;39,23;40,4
160215:Seixas;169,63;78,99;90,64
160221:União das freguesias de Arga (Baixo, Cima e São João);5,15;2,33;2,82
160222:União das freguesias de Caminha (Matriz) e Vilarelho;352,08;154,9;197,18
160223:União das freguesias de Gondar e Orbacém;35,99;16,55;19,44
160224:União das freguesias de Moledo e Cristelo;143,82;67,86;75,97
160225:União das freguesias de Venade e Azevedo;77,42;36,12;41,3
160217:Vila Praia de Âncora;552,33;255,68;296,65
160218:Vilar de Mouros;69,85;33,04;36,8
160220:Vile;102,86;48,93;53,93
1603:Melgaço;32,63;14,49;18,14
160301:Alvaredo;112,84;49,31;63,53
160304:Cousso;33,06;13,14;19,92
160305:Cristoval;75,9;33,27;42,63
160307:Fiães;13,02;5,8;7,23
160308:Gave;9,66;3,7;5,95
160311:Paderne;80,16;35,49;44,67
160313:Penso;50,28;23,39;26,89
160317:São Paio;53,77;25,53;28,24
160319:União das freguesias de Castro Laboreiro e Lamas de Mouro;4,74;1,82;2,92
160320:União das freguesias de Chaviães e Paços;65,92;29,72;36,2
160321:União das freguesias de Parada do Monte e Cubalhão;15,99;6,7;9,28
160322:União das freguesias de Prado e Remoães;121,25;58,86;62,4
160323:União das freguesias de Vila e Roussas;199,83;90,79;109,04
1604:Monção;84,31;38,61;45,69
160401:Abedim;24,74;10,88;13,86
160404:Barbeita;134,16;61,19;72,97
160405:Barroças e Taias;102,57;48,9;53,68
160406:Bela;157,26;74,14;83,11
160407:Cambeses;123,38;57,71;65,67
160410:Lara;51,72;23,12;28,6
160411:Longos Vales;61,64;28,57;33,07
160415:Merufe;30,31;13,26;17,05
160418:Moreira;153,35;72,39;80,97
160420:Pias;68,62;32,91;35,7
160421:Pinheiros;149,77;68,08;81,69
160422:Podame;72,6;29,32;43,29
160423:Portela;24,88;11,33;13,55
160424:Riba de Mouro;57,08;23,63;33,45
160427:Segude;135,02;59,49;75,53
160428:Tangil;27,49;11,63;15,87
160431:Trute;40,86;18,27;22,59
160434:União das freguesias de Anhões e Luzio;13,63;5,35;8,28
160435:União das freguesias de Ceivães e Badim;61,79;28,04;33,74
