fid,GID_0,NAME_2,layer,path,COUNTRY,NAME_1,TYPE_2,ministros_origem — ministros_desde_25abril_concelhos_fid,ministros_origem — ministros_desde_25abril_concelhos_TOTAIS Absolutos,ministros_origem — ministros_desde_25abril_concelhos_TOTAIS Percentagem,ministros_origem — ministros_desde_25abril_concelhos_TOTAIS A Governos PS,ministros_origem — ministros_desde_25abril_concelhos_TOTAIS P Governos PS,ministros_origem — ministros_desde_25abril_concelhos_TOTAIS A Governos PSD,ministros_origem — ministros_desde_25abril_concelhos_TOTAIS P Governos PS_1
11,,Águeda,,,Portugal,Aveiro,Concelho,2,3,0.6,3,1.2,0,0
12,,Albergaria-a-Velha,,,Portugal,Aveiro,Concelho,,,,,,,
13,,Anadia,,,Portugal,Aveiro,Concelho,11,1,0.2,0,0,1,0.4
14,,Arouca,,,Portugal,Aveiro,Concelho,,,,,,,
15,,Aveiro,,,Portugal,Aveiro,Concelho,15,1,0.2,1,0.4,0,0
16,,Castelo de Paiva,,,Portugal,Aveiro,Concelho,,,,,,,
17,,Espinho,,,Portugal,Aveiro,Concelho,32,1,0.2,0,0,1,0.4
18,,Estarreja,,,Portugal,Aveiro,Concelho,34,2,0.4,0,0,2,0.8
19,,Ílhavo,,,Portugal,Aveiro,Concelho,46,3,0.6,0,0,3,1.1
20,,Mealhada,,,Portugal,Aveiro,Concelho,,,,,,,
21,,Murtosa,,,Portugal,Aveiro,Concelho,64,2,0.4,0,0,0,0
22,,Oliveira de Azeméis,,,Portugal,Aveiro,Concelho,,,,,,,
23,,Oliveira do Bairro,,,Portugal,Aveiro,Concelho,,,,,,,
24,,Ovar,,,Portugal,Aveiro,Concelho,,,,,,,
25,,Santa Maria da Feira,,,Portugal,Aveiro,Concelho,,,,,,,
26,,São João da Madeira,,,Portugal,Aveiro,Concelho,85,9,1.7,3,1.2,5,1.9
27,,Sever do Vouga,,,Portugal,Aveiro,Concelho,,,,,,,
28,,Vagos,,,Portugal,Aveiro,Concelho,,,,,,,
29,,Vale de Cambra,,,Portugal,Aveiro,Concelho,,,,,,,
30,,Angra do Heroísmo,,,Portugal,Azores,Concelho,13,3,0.6,0,0,2,0.8
31,,Calheta,,,Portugal,Azores,Concelho,,,,,,,
32,,Corvo,,,Portugal,Azores,Concelho,,,,,,,
33,,Horta,,,Portugal,Azores,Concelho,,,,,,,
34,,Lagoa,,,Portugal,Azores,Concelho,,,,,,,
35,,Lajes das Flores,,,Portugal,Azores,Concelho,,,,,,,
36,,Lajes do Pico,,,Portugal,Azores,Concelho,,,,,,,
37,,Madalena,,,Portugal,Azores,Concelho,,,,,,,
38,,Nordeste,,,Portugal,Azores,Concelho,,,,,,,
39,,Ponta Delgada,,,Portugal,Azores,Concelho,75,7,1.3,7,2.8,1,0.4
40,,Povoação,,,Portugal,Azores,Concelho,,,,,,,
41,,Praia da Vitória,,,Portugal,Azores,Concelho,,,,,,,
42,,Ribeira Grande,,,Portugal,Azores,Concelho,,,,,,,
43,,Santa Cruz da Graciosa,,,Portugal,Azores,Concelho,,,,,,,
44,,Santa Cruz das Flores,,,Portugal,Azores,Concelho,,,,,,,
45,,São Roque do Pico,,,Portugal,Azores,Concelho,,,,,,,
46,,Velas,,,Portugal,Azores,Concelho,,,,,,,
47,,Vila do Porto,,,Portugal,Azores,Concelho,,,,,,,
48,,Vila Franca do Campo,,,Portugal,Azores,Concelho,,,,,,,
49,,Aljustrel,,,Portugal,Beja,Concelho,,,,,,,
50,,Almodôvar,,,Portugal,Beja,Concelho,,,,,,,
51,,Alvito,,,Portugal,Beja,Concelho,,,,,,,
52,,Barrancos,,,Portugal,Beja,Concelho,,,,,,,
53,,Beja,,,Portugal,Beja,Concelho,20,4,0.7,1,0.4,3,1.1
54,,Castro Verde,,,Portugal,Beja,Concelho,,,,,,,
55,,Cuba,,,Portugal,Beja,Concelho,,,,,,,
56,,Ferreira do Alentejo,,,Portugal,Beja,Concelho,37,1,0.2,0,0,1,0.4
57,,Mértola,,,Portugal,Beja,Concelho,,,,,,,
58,,Moura,,,Portugal,Beja,Concelho,,,,,,,
59,,Odemira,,,Portugal,Beja,Concelho,,,,,,,
60,,Ourique,,,Portugal,Beja,Concelho,,,,,,,
61,,Serpa,,,Portugal,Beja,Concelho,,,,,,,
62,,Vidigueira,,,Portugal,Beja,Concelho,,,,,,,
63,,Amares,,,Portugal,Braga,Concelho,,,,,,,
64,,Barcelos,,,Portugal,Braga,Concelho,18,2,0.4,0,0,2,0.8
65,,Braga,,,Portugal,Braga,Concelho,21,5,0.9,1,0.4,4,1.5
