fid,GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2
"1",PRT.1.1_1,PRT,Portugal,PRT.1_1,Aveiro,NA,Águeda,NA,NA,Concelho,Municipality,"0101",PT.AV.AG
"2",PRT.1.2_1,PRT,Portugal,PRT.1_1,Aveiro,NA,Albergaria-a-Velha,NA,NA,Concelho,Municipality,"0102",PT.AV.AL
"3",PRT.1.3_1,PRT,Portugal,PRT.1_1,Aveiro,NA,Anadia,NA,NA,Concelho,Municipality,"0103",PT.AV.AN
"4",PRT.1.4_1,PRT,Portugal,PRT.1_1,Aveiro,NA,Arouca,NA,NA,Concelho,Municipality,"0104",PT.AV.AR
"5",PRT.1.5_1,PRT,Portugal,PRT.1_1,Aveiro,NA,Aveiro,NA,NA,Concelho,Municipality,"0105",PT.AV.AV
"6",PRT.1.6_1,PRT,Portugal,PRT.1_1,Aveiro,NA,Castelo de Paiva,NA,NA,Concelho,Municipality,"0106",PT.AV.CP
"7",PRT.1.7_1,PRT,Portugal,PRT.1_1,Aveiro,NA,Espinho,NA,NA,Concelho,Municipality,"0107",PT.AV.EN
"8",PRT.1.8_1,PRT,Portugal,PRT.1_1,Aveiro,NA,Estarreja,NA,NA,Concelho,Municipality,"0108",PT.AV.ER
"9",PRT.1.9_1,PRT,Portugal,PRT.1_1,Aveiro,NA,Ílhavo,NA,NA,Concelho,Municipality,"0110",PT.AV.IL
"10",PRT.1.10_1,PRT,Portugal,PRT.1_1,Aveiro,NA,Mealhada,NA,NA,Concelho,Municipality,"0111",PT.AV.ME
"11",PRT.1.11_1,PRT,Portugal,PRT.1_1,Aveiro,NA,Murtosa,NA,NA,Concelho,Municipality,"0112",PT.AV.MU
"12",PRT.1.12_1,PRT,Portugal,PRT.1_1,Aveiro,NA,Oliveira de Azeméis,NA,NA,Concelho,Municipality,"0113",PT.AV.OA
"13",PRT.1.13_1,PRT,Portugal,PRT.1_1,Aveiro,NA,Oliveira do Bairro,NA,NA,Concelho,Municipality,"0114",PT.AV.OB
