concelho,qnt,governos psd,governos ps
Abrantes,4,1,2
Águeda,3,0,3
Aguiar da Beira,2,2,0
Alandroal,2,0,0
Albergaria-a-Velha,0,0,0
Albufeira,0,0,0
Alcácer do Sal,0,0,0
Alcanena,0,0,0
Alcobaça,0,0,2
Alcochete,0,0,0
Alcoutim,0,0,0
Alenquer,0,0,0
Alfândega da Fé,0,0,0
Alijó,5,0,5
Aljezur,0,0,0
Aljustrel,0,0,0
Almada,2,1,1
Almeida,1,0,1
Almeirim,0,0,0
Almodôvar,0,0,0
Alpiarça,3,0,3
Alter do Chão,0,0,0
Alvaiázere,2,2,0
Alvito,0,0,0
Amadora,3,3,0
Amarante,0,0,0
Amares,0,0,0
Anadia,1,1,0
Angra do Heroísmo,3,2,0
Ansião,0,0,0
Arcos de Valdevez,1,0,1
Arganil,0,0,0
Armamar,0,0,0
Arouca,0,0,0
Arraiolos,0,0,0
Arronches,0,0,0
Arruda dos Vinhos,0,0,0
Aveiro,1,0,1
Avis,1,0,1
Azambuja,0,0,0
Baião,1,0,1
Barcelos,2,2,0
Barrancos,0,0,0
Barreiro,3,0,3
Batalha,0,0,0
Beja,4,3,1
Belmonte,0,0,0
Benavente,0,0,0
Bombarral,0,0,0
Borba,0,0,0
Boticas,0,0,0
Braga,5,4,1
Bragança,0,0,0
Cabeceiras de Basto,0,0,0
Cadaval,0,0,0
Caldas da Rainha,0,0,0
Calheta,0,0,0
Calheta,0,0,0
Câmara de Lobos,0,0,0
Caminha,1,0,1
Campo Maior,0,0,0
Cantanhede,1,0,1
Carrazeda de Ansiães,0,0,0
Carregal do Sal,0,0,0
Cartaxo,0,0,0
Cascais,2,1,1
Castanheira de Pêra,0,0,0
Castelo Branco,4,1,1
Castelo de Paiva,0,0,0
Castelo de Vide,0,0,0
Castro Daire,0,0,0
Castro Marim,0,0,0
Castro Verde,0,0,0
Celorico da Beira,0,0,0
Celorico de Basto,0,0,0
Chamusca,1,0,1
Chaves,1,0,1
Cinfães,0,0,0
Coimbra,27,12,14
Condeixa-a-Nova,0,0,0
Constância,0,0,0
Coruche,0,0,0
Corvo,0,0,0
Covilhã,5,5,0
Crato,0,0,0
Cuba,0,0,0
Desconhecido,27,11,5
Elvas,0,0,0
Entroncamento,0,0,0
Espinho,1,1,0
Esposende,5,5,0
Estarreja,2,2,0
