,,,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,Totais
Marcelo R Sousa,Presidente da República,PSD,10:08:35,08:01:20,09:46:19,05:45:11,09:20:18,09:24:07,04:40:37,09:53:39,08:58:12,05:32:03,08:34:54,07:54:44,97:59:59
António Costa,Primeiro-Ministro,PS,10:30:02,06:17:09,09:52:58,07:38:03,10:56:33,06:48:10,06:34:00,01:58:10,07:56:15,07:34:44,11:02:54,09:42:03,96:51:01
André Ventura,,Chega,06:41:47,02:59:53,04:15:24,06:57:44,05:32:40,02:57:24,04:51:25,01:19:27,04:34:42,03:59:47,06:17:39,03:30:06,53:57:58
Luis Montenegro,PSD,PSD,03:56:21,03:12:28,02:28:13,04:09:08,04:16:28,02:43:19,02:56:40,01:48:07,03:49:16,02:52:40,05:19:22,04:24:30,41:56:32
Manuel Pizarro,Ministro da Saúde,PS,03:47:40,02:54:36,03:02:51,02:31:30,03:20:14,02:48:10,03:09:27,,03:48:59,04:58:58,03:32:28,04:29:42,38:24:35
Rui Rocha,,IL,,,01:57:02,03:40:55,02:41:54,02:12:03,02:33:37,,,,03:51:20,04:42:56,21:39:47
Fernando Medina,Ministro das Finanças,PS,02:33:59,02:06:47,03:29:19,03:58:25,,,,,04:11:03,04:00:18,,,20:19:51
José Luís Carneiro,Ministro da Administração Interna,PS,,,,,,02:07:40,02:27:12,02:09:13,,,04:34:40,04:18:40,15:37:25
Mariana Mortágua,,BE,,,,,,02:31:43,02:33:06,,02:53:58,02:48:32,04:22:22,,15:09:41
Catarina Martins,,BE,02:29:00,02:24:47,02:24:01,03:09:29,02:57:26,,,,,,,,13:24:43
Pedro Nuno Santos,Deputado,PS,,,,,,01:52:53,,,,,03:59:59,06:03:59,11:56:51
Carlos Moedas,Câmara Municipal de Lisboa,PSD,02:55:44,02:39:02,,,,,02:49:10,00:59:26,,,,,09:23:22
Roger Schimdt,Benfica,,,,,03:41:26,03:09:22,,,01:26:36,,,,,08:17:24
João Galamba,Ministro das Infraestruturas,PS,,,,,05:14:41,02:41:43,,,,,,,07:56:24
Mário Nogueira,FENPROF,,02:49:17,02:53:23,02:03:40,,,,,,,,,,07:46:20
Joana Bordalo e Sá,Federação Nacional dos Médicos,,,,,,,,,01:14:03,,02:43:29,03:23:41,,07:21:13
Paulo Raimundo,,PCP,,,,,,,,01:04:57,02:33:27,,,02:29:57,06:08:21
Jorge Roque da Cunha,Sindicato Independente dos Médicos,,,,,,,,,01:27:58,,02:50:37,,,04:18:35
Guterres,ONU,,,,,,,,,,,03:30:33,,,03:30:33
"D. Américo Aguiar,",Bispo auxiliar de Lisboa,,,,,,,,03:23:45,,,,,,03:23:45
Miguel Albuquerque,Governo Regional da Madeira,PSD,,,,,,,,,03:15:23,,,,03:15:23
João Costa,Ministro da Educação,PS,,,,,,,,,03:01:26,,,,03:01:26
Lacerda Sales,ex Secretário de Estado Adjunto e da Saúde,PS,,,,,,,,,,,,02:51:40,02:51:40
João Gomes Cravinho,Ministro dos Negócios Estrangeiros,PS,02:51:10,,,,,,,,,,,,02:51:10
Sérgio Conceição,FC Porto,,,,,,02:40:20,,,,,,,,02:40:20
André Pestana,STOP,,,02:39:54,,,,,,,,,,,02:39:54
Christine Ourmières-Widener,ex-presidente executiva da TAP,,,,,02:30:52,,,,,,,,,02:30:52
Gouveia e Melo,Marinha,,,,02:09:08,,,,,,,,,,02:09:08
