"URL,C,54","NAME,C,80","TYPEID,N,9,0","TYPE,C,60","MAP_REF,C,9","LONGITUDE,N,9,6","LATITUDE,N,9,6","COUNTY,C,35","ACCURACY,N,9,0","CONDITION,N,9,0","AMBIENCE,N,9,0","ACCESS,N,9,0","IMAGE,C,9","COLOUR,C,9"
14609, Anta I da Herdade do Silval,6,Burial Chamber or Dolmen,,-8.042092,38.661032,�vora,0,0,0,0,,tg
26166,Abrigo da Orca,35,Cave or Rock Shelter,,-7.935450,40.444340,Viseu,0,3,5,3,57140,tr
38046,Abul,31,"Ancient Mine, Quarry or other Industry",,-8.681758,38.428332,Set�bal,0,2,4,2,138691,tr
14181,Agua Doce 1,6,Burial Chamber or Dolmen,,-8.196660,38.780900,�vora,0,0,0,0,,tg
57909,Al-Uly�,38,Museum,,-8.023900,37.139540,Faro,0,5,5,5,252973,tr
27288,Alcalar Lime Kiln,31,"Ancient Mine, Quarry or other Industry",,-8.587030,37.199530,Faro,0,2,3,5,66564,tr
16208,Alcalar Monument 7,8,Chambered Tomb,,-8.588296,37.198965,Faro,0,4,3,5,4153,tr
27287,Alcalar monument 9,8,Chambered Tomb,,-8.587730,37.199420,Faro,0,4,3,5,42028,tr
27273,Alcaria 1a,7,Cairn,,-8.279600,37.573100,Beja,0,3,5,3,66848,tr
27274,Alcaria 1b,7,Cairn,,-8.279480,37.572950,Beja,0,2,5,3,66849,tr
27275,Alcaria 2,7,Cairn,,-8.281620,37.572000,Beja,0,3,5,3,66852,tr
56358,Aldeia dos Palheiros,2,Ancient Village or Settlement,,-7.871143,37.362631,Faro,0,3,3,4,237840,tr
40584,Algeriz Altar de Sacrificios,4,Barrow Cemetery,,-7.390682,41.590777,Vila Real,0,0,0,0,,tg
36838,Alinhamento da T�ra,25,Stone Row / Alignment,,-7.973320,38.893440,�vora,0,4,4,3,130009,tr
40638,Alminho Cromeleque,23,Stone Circle,,-8.216236,39.047753,Portalegre,0,0,0,0,,tg
29940,Almod�var Museum,38,Museum,,-8.061080,37.512272,Beja,0,5,5,5,237957,tr
52501,Alto de São Bento,2,Ancient Village or Settlement,,-7.937500,38.581100,�vora,0,2,5,5,205277,tr
50607,Anta 1 das Casas do Canal,6,Burial Chamber or Dolmen,,-7.606310,38.771599,�vora,0,4,4,3,187146,tr
37195,Anta 1 de Torre das Arcas,6,Burial Chamber or Dolmen,,-7.217828,38.863854,Portalegre,0,3,4,4,132696,tr
14622,Anta 1 do Colmeeiro,6,Burial Chamber or Dolmen,,-7.634887,38.692682,�vora,0,3,4,2,,tg
36819,Anta 1 do Olival da Pega,6,Burial Chamber or Dolmen,,-7.401244,38.451353,�vora,0,3,4,4,129932,tr
37236,Anta 1 do Sobral,6,Burial Chamber or Dolmen,,-7.211947,38.784754,Portalegre,0,3,4,3,133030,tr
6340747,Anta 1 e Menir dos Saragonheiros,6,Burial Chamber or Dolmen,,-7.636932,39.452896,Portalegre,0,3,4,4,139941,tr
50605,Anta 2 das Casas do Canal,6,Burial Chamber or Dolmen,,-7.606444,38.776111,�vora,0,2,4,4,187141,tr
