"URL,C,54","NAME,C,80","TYPEID,N,9,0","TYPE,C,60","MAP_REF,C,9","LONGITUDE,N,9,6","LATITUDE,N,9,6","COUNTY,C,35","ACCURACY,N,9,0","CONDITION,N,9,0","AMBIENCE,N,9,0","ACCESS,N,9,0","IMAGE,C,9","COLOUR,C,9"
21514, Atalozti Ekialde Túmulo,18,Round Barrow(s),,-1.362843,43.020851,Navarra,0,0,0,0,,tg
53341,A Corona (Arancedo),48,Castro or Chafurdão,,-6.826390,43.509440,Asturias,0,0,0,0,,tg
20158,A Fornela Dos Mouros Dolmen,6,Burial Chamber or Dolmen,,-9.007217,43.167703,Galicia,0,4,4,4,41580,tr
41103,A Mina de Folías Dolmen,6,Burial Chamber or Dolmen,,-9.070593,43.124949,Galicia,0,0,0,0,,tg
19803,A Mina De Recesindes,6,Burial Chamber or Dolmen,,-9.073860,43.147260,Galicia,0,3,4,4,40885,tr
41189,A Pedra das Cazolas,21,Standing Stone (Menhir),,-7.735405,43.017366,Galicia,0,0,0,0,,tg
41247,A Pedra que Fala,29,Rock Art,,-8.584625,42.963005,Galicia,0,0,0,0,,tg
47381,A Peneda Negra,29,Rock Art,,-8.626260,42.892600,Galicia,0,3,2,3,170914,tr
41981,A Raya De Las Foyas Dolmen,6,Burial Chamber or Dolmen,,-0.686112,42.877960,Aragón,0,0,0,0,,tg
41195,A Roda Henge,11,Henge,,-7.169201,43.539454,Galicia,0,0,0,0,,tg
40221,Abade Kurutz Harrespila,23,Stone Circle,,-1.922308,43.149292,Pais Vasco,0,0,0,0,,tg
9990,Aballarri Trikuharria,6,Burial Chamber or Dolmen,,-1.960974,43.218425,Pais Vasco,0,0,0,0,43687,tr
34514,Abaroa Zutarria,21,Standing Stone (Menhir),,-2.868686,43.064089,Pais Vasco,0,3,0,0,84241,tr
21169,Abartan Izkoa Cromlechs 1-9,23,Stone Circle,,-1.561957,43.096062,Navarra,0,4,4,3,43144,tr
21181,Abartango Zelaia Cromlech,23,Stone Circle,,-1.564981,43.085167,Navarra,0,0,0,0,,tg
21380,Abateko Lepoa Tumulua,18,Round Barrow(s),,-1.986082,42.992513,Navarra,0,0,0,0,,tg
23875,Abauntz cave,35,Cave or Rock Shelter,,-1.633330,43.001510,Navarra,0,0,0,0,,tg
40046,Abilleta Zista,69,Cist,,-2.259925,42.931865,Pais Vasco,0,0,0,0,,tg
21637,Abodi Túmulo,18,Round Barrow(s),,-1.054356,42.951545,Navarra,0,0,0,0,,tg
41792,Abric de Can Cabanyes,6,Burial Chamber or Dolmen,,2.942595,41.772930,Cataluña,0,0,0,0,,tg
41602,Abric de la Murtra,6,Burial Chamber or Dolmen,,2.978461,42.400338,Cataluña,0,0,0,0,143157,tp
41824,Abric del Torrent d'en Vila,6,Burial Chamber or Dolmen,,2.242536,41.763791,Cataluña,0,0,0,0,,tg
41491,Abrigo de El Molín,35,Cave or Rock Shelter,,-5.907297,43.269800,Asturias,0,0,0,0,,tg
41480,Abrigo de Falo,35,Cave or Rock Shelter,,-4.832354,43.311533,Asturias,0,0,0,0,,tg
41488,Abrigo de La Viña,35,Cave or Rock Shelter,,-5.824363,43.314703,Asturias,0,0,0,0,,tg
40503,Abrigo de Quizans,29,Rock Art,,0.011220,42.196550,Cataluña,0,0,0,0,,tg
41483,Abrigo de Samoreli,35,Cave or Rock Shelter,,-4.888229,43.408477,Asturias,0,0,0,0,,tg
41478,Abrigo de Soberaos,35,Cave or Rock Shelter,,-4.865742,43.326645,Asturias,0,0,0,0,,tg
32836,Abrigo del Canto de la Visera,35,Cave or Rock Shelter,,-1.174850,38.595944,Murcia,0,4,0,0,99417,to
41481,Abrigos de Berodia,35,Cave or Rock Shelter,,-4.882994,43.311721,Asturias,0,0,0,0,,tg
40469,Acinipo,2,Ancient Village or Settlement,,-5.238140,36.832390,Andalucía,0,0,0,0,254073,tr
6340684,Acropolis,48,Castro or Chafurdão,,-6.466000,40.866000,Castilla y León,0,0,0,0,,tg
21645,Adazidoia Dolmen,6,Burial Chamber or Dolmen,,-0.896740,42.911499,Navarra,0,0,0,0,,tg
21648,Adazidoia Túmulo,18,Round Barrow(s),,-0.895022,42.915529,Navarra,0,0,0,0,,tg
39045,Adikosoro Fondo Cabaña 1,2,Ancient Village or Settlement,,-1.454110,43.024903,Navarra,0,0,0,0,,tg
39046,Adikosoro Fondo Cabaña 2,2,Ancient Village or Settlement,,-1.443251,43.024792,Navarra,0,0,0,0,,tg
39004,Adikosoro Hego Túmulo,18,Round Barrow(s),,-1.443251,43.023333,Navarra,0,0,0,0,,tg
21468,Adikosoro Túmulos 1-3,18,Round Barrow(s),,-1.443091,43.024473,Navarra,0,0,0,0,,tg
40350,Adro Vello Área Arqueológica,2,Ancient Village or Settlement,,-8.930980,42.477710,Galicia,0,0,0,0,,tg
13577,Agerreburu Trikuharria,6,Burial Chamber or Dolmen,,-2.362541,43.153211,Pais Vasco,0,0,0,0,105960,tr
21255,Agerretxeberriko Borda Túmulo,18,Round Barrow(s),,-1.530504,43.120244,Navarra,0,0,0,0,,tg
21794,Agilarrondo Campo Tumular,4,Barrow Cemetery,,-2.218204,42.835296,Navarra,0,0,0,0,,tg
21871,Agin Túmulo,18,Round Barrow(s),,-2.007656,42.833276,Navarra,0,0,0,0,,tg
20573,Agiña Dolmen,6,Burial Chamber or Dolmen,,-1.759661,43.264692,Navarra,0,0,0,0,,tg
20708,Agiña Erdi Chromlechs 1-4,23,Stone Circle,,-1.761072,43.261961,Navarra,0,0,0,0,,tg
20707,Agiña Hego Chromlechs 1-3,23,Stone Circle,,-1.761033,43.260835,Navarra,0,3,4,4,118443,tr
